libsysprof-capture 3.42.1-2
libtar 1.2.20-6
libtasn1 4.18.0-1
libtermkey 0.22-2
libthai 0.1.29-1
libtheora 1.1.1-5.1
libtiff 4.3.0-1
libtirpc 1.3.2-1
libtommath 1.2.0-3.1
libtool 2.4.6+42+gb88cebd5-16
libudev 250.3-1
libunistring 0.9.10-3
libunwind 1.6.2-1
libupnp 1.14.12-2
liburcu 0.13.1-1
liburing 2.1-1
libusb 1.0.24-2
libusbmuxd 2.0.2-1
libutempter 1.2.1-1
libutf8proc 2.7.0-1
libuv 1.43.0-1
libva 2.13.0-1
libva-utils 2.13.0-1
libvdpau 1.4-1.1
libvisual 0.4.0-8.1
libvorbis 1.3.7-2
libvpx 1.11.0-1
libvterm 0.1.3.git1.65dbda-1
libwacom 2.0.0-2
libwebp 1.2.2-1
libwmf 0.2.12-2.1
libwpe 1.12.0-1
libx11 1.7.3.1-1
libxau 1.0.9-3.1
libxaw 1.0.14-1
libxcb 1.14-1.1
libxcomposite 0.4.5-3.1
libxcrypt 4.4.27-1
libxcursor 1.2.0-2.1
libxcvt 0.1.1-1
libxdamage 1.1.5-3.1
libxdg-basedir 1.2.3-1
libxdmcp 1.1.3-3.1
libxext 1.3.4-3.1
libxfixes 6.0.0-1
libxfont2 2.0.5-1
libxft-bgra-git 2.3.4.r113.98b121f-1
libxi 1.8-1
libxinerama 1.1.4-3.1
libxkbcommon 1.3.1-1
libxkbcommon-x11 1.3.1-1
libxkbfile 1.1.0-2.1
libxklavier 5.4-3.1
libxml2 2.9.12-7
libxmu 1.1.3-2.1
libxpm 3.5.13-2.1
libxrandr 1.5.2-3.1
libxrender 0.9.10-4.1
libxshmfence 1.3-2.1
libxslt 1.1.34-6
libxss 1.2.3-3.1
libxt 1.2.1-1
libxtst 1.2.3-4.1
libxv 1.0.11-4.1
libxxf86vm 1.1.4-4.1
libyaml 0.2.5-1.1
libyuv r2266+eb6e7bb6-1
libzip 1.8.0-1
licenses 20200427-1.1
lightdm 1:1.30.0-4.1
lightdm-runit 20180226-4
lightdm-webkit-theme-aether 2.2.2-1
lightdm-webkit2-greeter 2.2.5-4
lilv 0.24.12-4
linux-api-headers 5.12.3-1
linux-firmware 20220119.0c6a7b3-2
linux-firmware-whence 20220119.0c6a7b3-2
linux-tkg-muqss 5.13.19-204
linux-tkg-muqss-headers 5.13.19-204
lld 13.0.0-1
lldb 13.0.0-2
llvm 13.0.0-6
llvm-amdgpu 4.5.0-1
llvm-libs 13.0.0-6
lm_sensors 1:3.6.0.r41.g31d1f125-1
lmdb 0.9.29-1
lnch 1:6ed336d-1
logrotate 3.19.0-1
lolcat 100.0.1-1
lsb-release 1.4-18
lsd 0.21.0-1
lsof 4.94.0-1
lua 5.4.3-1
lua-language-server 2.6.1-1
lua52 5.2.4-5
lua53 5.3.6-1
lua53-lgi 0.9.2-4
luajit-git 2.0.5.112.gc50232eb3-1
luit 20210218-1
lutris-git 0.5.9.1.r170.gd21cc783-1
lv2 1.18.2-1
lvm2 2.03.14-2
lz4 1:1.9.3-2
lzo 2.10-3.1
lzop 1.04-3
m4 1.4.19-1
mailcap 2.1.53-1
make 4.3-3.1
man-db 2.9.4-2
mariadb 10.6.5-2
mariadb-clients 10.6.5-2
mariadb-libs 10.6.5-2
mbedtls 2.28.0-1
md4c 0.4.8-1
mdadm 4.2-1
media-player-info 24-2.1
memtest86-efi 1:9.3build1000-1
